CSDS 132,Introduction to Programming in Java,"An introduction to modern programming language features, computer programming and algorithmic problem solving with an emphasis on the Java language. Computers and code compilation; conditional statements, subprograms, loops, methods; object-oriented design, inheritance and polymorphism, abstract classes and interfaces; types, type systems, generic types, abstract data types, strings, arrays, linked lists; software development, modular code design, unit testing; strings, text and file I/O; GUI components, GUI event handling; threads; comparison of Java to C, C++, and C#.Offered as CSDS 132 and ECSE 132. Counts for CAS Quantitative Reasoning Requirement."
CSDS 133,Introduction to Data Science and Engineering for Majors,"This course is an introduction to data science and analytics.In the first half of the course, students will develop a basic understanding of how to manipulate, analyze and visualize large data in a distributed computing environment, with an appreciation of open source development, security and privacy issues.Case studies and team project assignments in the second half of the course will be used to implement the ideas. Topics covered will include: Overview of large scale parallel and distributed (cloud) computing; file systems and file i/o; open source coding and distributed versioning, data query and retrieval; basic data analysis; visualization; data security, privacy and provenance.Prereq: ENGR 131 or EECS 132."
CSDS 233,Introduction to Data Structures,"Different representations of data: lists, stacks and queues, trees, graphs, and files.  Manipulation of data: searching and sorting, hashing, recursion and higher order functions.  Abstract data types, templating, and the separation of interface and implementation.  Introduction to asymptotic analysis. The Java language is used to illustrate the concepts and as an implementation vehicle throughout the course.Offered as CSDS 233 and ECSE 233.Prereq: CSDS 132 or ECSE 132 or EECS 132."
CSDS 234,Structured and Unstructured Data,"This course is an introduction to types of data and their representation, storage, processing and analysis. The course has three parts.  In the first part of the course, students will develop a basic understanding and the ability to represent, store, process and analyze structured data. Structured data include catalogs, records, tables, logs, etc., with a fixed dimension and well-defined meaning for each data point. Suitable representation and storage mechanisms include lists and arrays. Relevant techniques include keys, hashes, stacks, queues and trees. In the second part of the course, students will develop a basic understanding and the ability to represent, store, process and analyze semi-structured data. Semi-structured data include texts, web pages and networks, without a dimension and structure, but with well-defined meaning for each data point. Suitable representation and storage mechanisms include trees, graphs and RDF triples. Relevant techniques include XML, YAML, JSON, parsing, annotation, language processing. In the third part of the course, students will develop a basic understanding and the ability to represent, store, process and analyze unstructured data. Unstructured data include images, video, and time series data, without neither a fixed dimension and structure, nor well-defined meaning for individual data points. Suitable representation and storage mechanisms include large matrices, EDF, DICOM. Relevant techniques include feature extraction, segmentation, clustering, rendering, indexing, and visualization.Prereq: DSCI 133."
CSDS 275,Fundamentals of Robotics,"The Fundamentals of Robotics course will expose students to fundamental principles of robotics.  Students will explore high level conceptual foundations of robotics beginning with Braitenberg vehicles and apply this knowledge to simulated and physical robot hardware in laboratory experiences and in a final project.  Laboratory experiences will guide students through applying theory to practice increasingly complex tasks in a project oriented, group work environment.  The course culminates in a robotics challenge project at the end of the semester.  Topics covered are: sensors, actuators, kinematics, control, planning and programming.  Programming languages and concepts (e.g., C++, object oriented programming) used in robotics will be introduced and used with modern robotics programming toolboxes and frameworks.  Prior experience with these languages will not be necessary.  Previous experience with robotics is not required for this course.Offered as CSDS 275 and ECSE 275.Prereq: (ENGR 131 or EECS 132) and PHYS 121 and MATH 121."
CSDS 281,Logic Design and Computer Organization,Fundamentals of digital systems in terms of both computer organization and logic level design.  Organization of digital computers; information representation; boolean algebra; analysis and synthesis of combinational and sequential circuits; datapaths and register transfers; instruction sets and assembly language; input/output and communication; memory.Offered as CSDS 281 and ECSE 281.Prereq: ENGR 131 or EECS 132.
CSDS 290,Introduction to Computer Game Design and Implementation,"This class begins with an examination of the history of video games and of game design. Games will be examined in a systems context to understand gaming and game design fundamentals. Various topics relating directly to the implementation of computer games will be introduced including graphics, animation, artificial intelligence, user interfaces, the simulation of motion, sound generation, and networking. Extensive study of past and current computer games will be used to illustrate course concepts. Individual and group projects will be used throughout the semester to motivate, illustrate and demonstrate the course concepts and ideas. Group game development and implementation projects will culminate in classroom presentation and evaluation.Offered as CSDS 290 and ECSE 290.Prereq: EECS 132 or ENGR 131."
CSDS 293,Software Craftsmanship,"A course to improve programming skills, software quality, and the software development process.  Software design; Version control; Control issues and routines;  Pseudo-code programming process and developer testing; Defensive programming; Classes; Debugging; Self-documenting code; Refactoring.Offered as CSDS 293 and CSDS 293N.Prereq: Computer Science Major and (CSDS 233 or ECSE 233 or EECS 233) with a C or higher."
CSDS 293N,Software Craftsmanship,"A course to improve programming skills, software quality, and the software development process.  Software design; Version control; Control issues and routines;  Pseudo-code programming process and developer testing; Defensive programming; Classes; Debugging; Self-documenting code; Refactoring.Offered as CSDS 293 and CSDS 293N.Prereq: (CSDS 233 or ECSE 233 or EECS 233) with a C or higher."
CSDS 296,Independent Projects,Independent projects in Computer and Data Science.  Recommended preparation: ENGR 131 or EECS/CSDS/ECSE 132.Prereq: Limited to freshmen and sophomore students.
CSDS 297,Special Topics,Special topics in Computer and Data Science.Prereq: Limited to freshmen and sophomores.
